Time [s],Value,Parity Error,Framing Error
3.1632300000,0x00,,
3.1645650000,0x0C,,
3.1875750000,0x53,,
3.1890100000,0xB0,,
3.1906450000,0x1B,,
3.1921850000,0x00,,
3.1936200000,0xFD,,
3.1950550000,0x1E,,
3.1966000000,0x00,,
3.1980350000,0x0C,,
3.1995650000,0x01,,
3.2011000000,0x05,,
3.2026450000,0x0E,,
3.2039800000,0x14,,
3.2055150000,0x00,,
3.7630000000,0x53,,
3.7645350000,0xB0,,
3.7659700000,0x1B,,
3.7676100000,0x00,,
3.7689450000,0xFD,,
3.7703800000,0x1E,,
3.7719250000,0x00,,
3.7733600000,0x0C,,
3.7748950000,0x01,,
3.7763350000,0x06,,
3.7778700000,0x0E,,
3.7793050000,0x15,,
3.7807400000,0x00,,
3.7948850000,0x53,,
3.7964250000,0xB0,,
3.7978600000,0x1B,,
3.7992000000,0x00,,
3.8007300000,0xFD,,
3.8022750000,0x1E,,
3.8037100000,0x00,,
3.8053400000,0x0C,,
3.8068850000,0x01,,
3.8082200000,0x07,,
3.8097550000,0x0E,,
3.8111900000,0x16,,
3.8127300000,0x00,,
3.8222450000,0x53,,
3.8237800000,0xB0,,
3.8253150000,0x1B,,
3.8267550000,0x00,,
3.8281900000,0xFD,,
3.8296250000,0x1E,,
3.8312600000,0x00,,
3.8328000000,0x0C,,
3.8342350000,0x01,,
3.8357700000,0x08,,
3.8371150000,0x0E,,
3.8387450000,0x17,,
3.8401800000,0x00,,
3.8484200000,0x53,,
3.8497550000,0xB0,,
3.8512900000,0x1B,,
3.8527350000,0x00,,
3.8543650000,0xFD,,
3.8559000000,0x1E,,
3.8573400000,0x00,,
3.8588750000,0x0C,,
3.8603100000,0x01,,
3.8617550000,0x09,,
3.8633850000,0x0E,,
3.8648200000,0x18,,
3.8663600000,0x00,,
3.8759700000,0x53,,
3.8774100000,0xB0,,
3.8787500000,0x1B,,
3.8802800000,0x00,,
3.8816250000,0xFD,,
3.8830650000,0x1E,,
3.8845000000,0x00,,
3.8859350000,0x0C,,
3.8873750000,0x01,,
3.8888100000,0x0A,,
3.8902450000,0x0E,,
3.8916900000,0x19,,
3.8931250000,0x00,,
3.9051000000,0x53,,
3.9067400000,0xB0,,
3.9080750000,0x1B,,
3.9094150000,0x00,,
3.9109450000,0xFD,,
3.9123900000,0x1E,,
3.9138250000,0x00,,
3.9151600000,0x0C,,
3.9166000000,0x01,,
3.9180400000,0x0B,,
3.9194750000,0x0E,,
3.9209100000,0x1A,,
3.9222550000,0x00,,
3.9427000000,0x53,,
3.9441350000,0xB0,,
3.9455700000,0x1B,,
3.9468200000,0x00,,
3.9481550000,0xFD,,
3.9495900000,0x1E,,
3.9510250000,0x00,,
3.9523700000,0x0C,,
3.9538050000,0x01,,
3.9552400000,0x0C,,
3.9566850000,0x0E,,
3.9582200000,0x1B,,
3.9596550000,0x00,,
4.3441050000,0x53,,
4.3456400000,0xB0,,
4.3470850000,0x1B,,
4.3486150000,0x00,,
4.3499550000,0xFD,,
4.3512900000,0x1E,,
4.3528300000,0x00,,
4.3542650000,0x0C,,
4.3556050000,0x01,,
4.3570500000,0x0D,,
4.3583850000,0x0E,,
4.3598200000,0x1C,,
4.3612550000,0x00,,
4.3895800000,0x53,,
4.3908200000,0xB0,,
4.3921650000,0x1B,,
4.3935050000,0x00,,
4.3949400000,0xFD,,
4.3964700000,0x1E,,
4.3977200000,0x00,,
4.3991550000,0x0C,,
4.4005900000,0x01,,
4.4019350000,0x0E,,
4.4328150000,0x53,,
4.4342500000,0xB0,,
4.4356850000,0x1B,,
4.4370300000,0x00,,
4.4384650000,0xFD,,
4.4399000000,0x1E,,
4.4413350000,0x00,,
4.4427800000,0x0C,,
4.4442150000,0x01,,
4.4456500000,0x0F,,
4.4469950000,0x0E,,
4.4483350000,0x1E,,
4.4498650000,0x00,,
4.4610550000,0x53,,
4.4624950000,0xB0,,
4.4639300000,0x1B,,
4.4652700000,0x00,,
4.4668100000,0xFD,,
4.4681500000,0x1E,,
4.4696800000,0x00,,
4.4711150000,0x0C,,
4.4723650000,0x01,,
4.4738950000,0x10,,
4.4754300000,0x0E,,
4.4767700000,0x1F,,
4.4782100000,0x00,,
4.4907750000,0x53,,
4.4922200000,0xB0,,
4.4936550000,0x1B,,
4.4951850000,0x00,,
4.4965300000,0xFD,,
4.4979700000,0x1E,,
4.4994050000,0x00,,
4.5008400000,0x0C,,
4.5022800000,0x01,,
4.5040100000,0x11,,
4.5055450000,0x0E,,
4.5071850000,0x20,,
4.5087200000,0x00,,
