Time [s],Value,Parity Error,Framing Error
3.8072050000,0x00,,
3.8115250000,0x53,,
3.8129650000,0xC2,,
3.8145050000,0x1C,,
3.8158400000,0x00,,
3.8173850000,0x9D,,
3.8188250000,0x1B,,
3.8202600000,0x00,,
3.8217000000,0x0C,,
3.8231400000,0x01,,
3.8246850000,0x00,,
3.8261200000,0x12,,
3.8275600000,0x13,,
3.8290000000,0x00,,
3.8311600000,0x53,,
3.8327000000,0xC2,,
3.8340400000,0x1C,,
3.8354750000,0x00,,
3.8369150000,0x9D,,
3.8383550000,0x1B,,
3.8397950000,0x00,,
3.8412350000,0x0C,,
3.8426750000,0x01,,
3.8441150000,0x00,,
3.8455500000,0x11,,
3.8469900000,0x12,,
3.8498700000,0x53,,
3.8513100000,0xC2,,
3.8527500000,0x1C,,
3.8541850000,0x00,,
3.8556250000,0x9D,,
3.8570650000,0x1B,,
3.8586100000,0x00,,
3.8600450000,0x0C,,
3.8614850000,0x01,,
3.8629250000,0x00,,
3.8644700000,0x12,,
3.8660100000,0x13,,
3.8675550000,0x00,,
3.8891400000,0x53,,
3.8905800000,0xC2,,
3.8920200000,0x1C,,
3.8934600000,0x00,,
3.8949000000,0x9D,,
3.8963400000,0x1B,,
3.8978800000,0x00,,
3.8993200000,0x0C,,
3.9008600000,0x01,,
3.9024000000,0x00,,
3.9039450000,0x13,,
3.9054850000,0x14,,
3.9070250000,0x00,,
3.9130900000,0x53,,
3.9146300000,0xC2,,
3.9160700000,0x1C,,
3.9175100000,0x00,,
3.9189500000,0x9D,,
3.9204900000,0x1B,,
3.9220300000,0x00,,
3.9235750000,0x0C,,
3.9251150000,0x01,,
3.9266550000,0x00,,
3.9282000000,0x12,,
3.9297400000,0x13,,
3.9312800000,0x00,,
3.9485500000,0x53,,
3.9500900000,0xC2,,
3.9516300000,0x1C,,
3.9530700000,0x00,,
3.9546100000,0x9D,,
3.9561550000,0x1B,,
3.9576950000,0x00,,
3.9592400000,0x0C,,
3.9606800000,0x01,,
3.9622200000,0x00,,
3.9638650000,0x13,,
3.9654050000,0x14,,
3.9669500000,0x00,,
3.9809300000,0x53,,
3.9824750000,0xC2,,
3.9840150000,0x1C,,
3.9855600000,0x00,,
3.9871000000,0x9D,,
3.9886400000,0x1B,,
3.9900800000,0x00,,
3.9917250000,0x0C,,
3.9931650000,0x01,,
3.9948100000,0x00,,
3.9962500000,0x12,,
3.9977950000,0x13,,
3.9993350000,0x00,,
4.0436400000,0x53,,
4.0451850000,0xC2,,
4.0467250000,0x1C,,
4.0482650000,0x00,,
4.0497050000,0x9D,,
4.0511450000,0x1B,,
4.0526900000,0x00,,
4.0543350000,0x0C,,
4.0557750000,0x01,,
4.0573150000,0x00,,
4.0588600000,0x13,,
4.0604000000,0x14,,
4.0618400000,0x00,,
4.0894900000,0x53,,
4.0909300000,0xC2,,
4.0923700000,0x1C,,
4.0938100000,0x00,,
4.0953500000,0x9D,,
4.0968950000,0x1B,,
4.0983350000,0x00,,
4.0998750000,0x0C,,
4.1013150000,0x01,,
4.1028550000,0x00,,
4.1044000000,0x14,,
4.1059400000,0x15,,
4.1073800000,0x00,,
4.1210550000,0x53,,
4.1224950000,0xC2,,
4.1240350000,0x1C,,
4.1254750000,0x00,,
4.1269150000,0x9D,,
4.1284550000,0x1B,,
4.1300000000,0x00,,
4.1315400000,0x0C,,
4.1329800000,0x01,,
4.1345250000,0x00,,
4.1360650000,0x15,,
4.1375050000,0x16,,
4.1389450000,0x00,,
4.1425450000,0x53,,
4.1439850000,0xC2,,
4.1454250000,0x1C,,
4.1468650000,0x00,,
4.1483000000,0x9D,,
4.1498450000,0x1B,,
4.1512850000,0x00,,
4.1527250000,0x0C,,
4.1541650000,0x01,,
4.1556000000,0x00,,
4.1570400000,0x16,,
4.1584800000,0x17,,
4.1600250000,0x00,,
4.1763700000,0x53,,
4.1778100000,0xC2,,
4.1792500000,0x1C,,
4.1807900000,0x00,,
4.1821300000,0x9D,,
4.1836700000,0x1B,,
4.1851100000,0x00,,
4.1865500000,0x0C,,
4.1879900000,0x01,,
4.1894300000,0x00,,
4.1908700000,0x15,,
4.1923100000,0x16,,
4.1938500000,0x00,,
4.2319950000,0x53,,
4.2334350000,0xC2,,
4.2349750000,0x1C,,
4.2364150000,0x00,,
4.2378550000,0x9D,,
4.2392950000,0x1B,,
4.2408350000,0x00,,
4.2422750000,0x0C,,
4.2436100000,0x01,,
4.2451550000,0x00,,
4.2466950000,0x14,,
4.2482400000,0x15,,
4.2497800000,0x00,,
4.2527650000,0x53,,
4.2543050000,0xC2,,
4.2557450000,0x1C,,
4.2571850000,0x00,,
4.2586250000,0x9D,,
4.2601650000,0x1B,,
4.2615050000,0x00,,
4.2629450000,0x0C,,
4.2644850000,0x01,,
4.2658200000,0x00,,
4.2672600000,0x13,,
4.2687000000,0x14,,
4.2701400000,0x00,,
4.2878250000,0x53,,
4.2893650000,0xC2,,
4.2909100000,0x1C,,
4.2924500000,0x00,,
4.2938900000,0x9D,,
4.2953300000,0x1B,,
4.2967700000,0x00,,
4.2982100000,0x0C,,
4.2997500000,0x01,,
4.3010900000,0x00,,
4.3025300000,0x14,,
4.3039650000,0x15,,
4.3054050000,0x00,,
4.3388250000,0x53,,
4.3403650000,0xC2,,
4.3419100000,0x1C,,
4.3433500000,0x00,,
4.3448900000,0x9D,,
4.3464300000,0x1B,,
4.3479750000,0x00,,
4.3495150000,0x0C,,
4.3510600000,0x01,,
